Model output,Family,Genera,Classes
0,Culicidae,Aedes,1
1,Culicidae,Aedes,2
2,Culicidae,Aedes,34
3,Culicidae,Aedes,35
4,Culicidae,Aedes,36
5,Culicidae,Aedes,37
6,Culicidae,Aedes,79
7,Culicidae,Aedes,104
8,Culicidae,Aedes,108
9,Culicidae,Aedes,132
10,Culicidae,Culex,3
11,Culicidae,Culex,29
12,Culicidae,Culex,32
13,Culicidae,Culex,33
14,Culicidae,Culex,100
15,Culicidae,Culex,123
16,Culicidae,Culex,136
17,Culicidae,Anopheles,6
18,Culicidae,Anopheles,7
19,Culicidae,Anopheles,8
20,Culicidae,Anopheles,31
21,Culicidae,Anopheles,61
22,Culicidae,Anopheles,64
23,Culicidae,Anopheles,66
24,Culicidae,Anopheles,68
25,Culicidae,Anopheles,69
26,Culicidae,Anopheles,70
27,Culicidae,Anopheles,71
28,Culicidae,Anopheles,75
29,Culicidae,Anopheles,76
30,Culicidae,Anopheles,85
31,Culicidae,Anopheles,94
32,Culicidae,Anopheles,96
33,Culicidae,Anopheles,111
34,Culicidae,Anopheles,133
35,Culicidae,Anopheles,140
36,Culicidae,Lutzia,121
37,Culicidae,Orthopodomyia,124
38,Glossinidae,Glossina,10
39,Glossinidae,Glossina,15
40,Glossinidae,Glossina,11
41,Glossinidae,Glossina,46
42,Glossinidae,Glossina,54
43,Glossinidae,Glossina,12
44,Glossinidae,Glossina,13
45,Glossinidae,Glossina,14
46,Glossinidae,Glossina,44
47,Glossinidae,Glossina,51
48,Glossinidae,Glossina,53
49,Glossinidae,Glossina,56
50,Glossinidae,Glossina,57
51,Glossinidae,Glossina,58
52,Glossinidae,Glossina,50
53,Psychodidae,Phlebotomus,17
54,Psychodidae,Phlebotomus,19
55,Psychodidae,Phlebotomus,20
56,Psychodidae,Phlebotomus,21
57,Psychodidae,Phlebotomus,22
58,Psychodidae,Phlebotomus,23
59,Psychodidae,Phlebotomus,24
60,Psychodidae,Phlebotomus,141
61,Psychodidae,Phlebotomus,142
62,Psychodidae,Lutzomyia,25
63,Psychodidae,Lutzomyia,143
64,Psychodidae,Sergentomyia,144
65,Ceratopogonidae,Culicoides,26
66,Tabanidae,Chrysops,92
67,Culicidae,Anopheles,63
